date,step_count
2023-12-24,4528
2023-12-25,2668
2023-12-26,3799
2023-12-27,1510
2023-12-28,9058
2023-12-29,3610
2023-12-30,3677
2023-12-31,4619
2024-01-01,2225
2024-01-02,2353
2024-01-03,3196
2024-01-04,5805
2024-01-05,2944
2024-01-06,1563
2024-01-07,460
2024-01-08,2529
2024-01-09,2037
2024-01-10,1692
2024-01-11,5032
2024-01-12,1979
2024-01-13,657
2024-01-14,68
2024-01-15,1979
2024-01-16,2094
2024-01-17,333
2024-01-18,747
2024-01-19,409
2024-01-20,1747
2024-01-21,3086
2024-01-22,5358
2024-01-23,4358
2024-01-24,320
2024-01-25,1356
2024-01-26,2152
2024-01-27,1125
2024-01-28,386
2024-01-29,200
2024-01-30,207
2024-01-31,2218
2024-02-01,1175
2024-02-02,345
2024-02-03,2403
2024-02-04,1496
2024-02-05,1362
2024-02-06,2245
2024-02-07,1016
2024-02-08,3120
2024-02-09,264
2024-02-10,2365
2024-02-11,2979
2024-02-12,1060
2024-02-13,4693
2024-02-14,1652
2024-02-15,1802
2024-02-16,3653
2024-02-17,838
2024-02-18,811
2024-02-19,3618
2024-02-20,4096
2024-02-21,4686
2024-02-22,6796
2024-02-23,3840
2024-02-24,3862
2024-02-25,3627
2024-02-26,2906
2024-02-27,4176
2024-02-28,3365
2024-02-29,4409
2024-03-01,363
2024-03-02,38
2024-03-03,3065
2024-03-04,2517
2024-03-05,3651
2024-03-06,3400
2024-03-07,6057
2024-03-08,4564
2024-03-09,161
2024-03-10,4770
2024-03-11,3045
2024-03-12,10409
2024-03-13,1691
2024-03-14,10520
2024-03-15,3731
2024-03-16,20
2024-03-17,461
2024-03-18,3830
2024-03-19,4870
2024-03-20,1284
2024-03-21,4212
2024-03-22,1887
2024-03-23,1612
2024-03-24,2973
2024-03-25,3794
2024-03-26,7672
2024-03-27,1115
2024-03-28,4092
2024-03-29,3447
2024-03-30,846
2024-03-31,21
2024-04-01,2212
2024-04-02,9099
2024-04-03,6356
2024-04-04,3725
2024-04-05,1343
2024-04-06,6294
2024-04-07,1190
2024-04-08,2702
2024-04-09,1044
2024-04-10,1397
2024-04-11,8559
2024-04-12,3290
2024-04-13,1054
2024-04-14,652
2024-04-15,8067
2024-04-16,7624
2024-04-17,3948
2024-04-18,7142
2024-04-19,2696
2024-04-20,577
2024-04-21,6027
2024-04-22,6056
2024-04-23,1803
2024-04-24,7309
2024-04-25,9442
2024-04-26,9359
2024-04-27,2716
2024-04-28,1716
2024-04-29,3922
2024-04-30,1810
2024-05-01,2661
2024-05-02,8084
2024-05-03,951
2024-05-04,4077
2024-05-05,6908
2024-05-06,8135
2024-05-07,7739
2024-05-08,4646
2024-05-09,7845
2024-05-10,3746
2024-05-11,4310
2024-05-12,10793
2024-05-13,6791
2024-05-14,6521
2024-05-15,5674
2024-05-16,6542
2024-05-17,10819
2024-05-18,11673
2024-05-19,3389
2024-05-20,4733
2024-05-21,7404
2024-05-22,5138
2024-05-23,9608
2024-05-24,7720
2024-05-25,3468
2024-05-26,4436
2024-05-27,8045
2024-05-28,8948
2024-05-29,3902
2024-05-30,5906
2024-05-31,4161
2024-06-01,3246
2024-06-02,5420
2024-06-03,5518
2024-06-04,4491
2024-06-05,6713
2024-06-06,6258
2024-06-07,5651
2024-06-08,9761
2024-06-09,5053
2024-06-10,4229
2024-06-11,2449
2024-06-12,2626
2024-06-13,701
2024-06-14,1210
2024-06-15,1762
2024-06-16,4764
2024-06-17,1333
2024-06-18,6165
2024-06-19,4118
2024-06-20,901
2024-06-21,1241
2024-06-22,2709
2024-06-23,2324
2024-06-24,521
2024-06-25,1018
2024-06-26,5193
2024-06-27,1267
2024-06-28,913
2024-06-29,3037
2024-06-30,3166
2024-07-01,1251
2024-07-02,2257
2024-07-03,4042
2024-07-04,525
2024-07-05,2243
2024-07-06,2783
2024-07-07,275
2024-07-08,907
2024-07-09,6015
2024-07-10,5626
2024-07-11,2624
2024-07-12,1126
2024-07-13,7197
2024-07-14,1974
2024-07-15,8143
2024-07-16,10477
2024-07-17,9210
2024-07-18,8310
2024-07-19,14180
2024-07-20,9452
2024-07-21,12523
2024-07-22,15579
2024-07-23,12455
2024-07-24,10213
2024-07-25,8778
2024-07-26,9274
2024-07-27,9032
2024-07-28,7273
2024-07-29,9329
2024-07-30,4881
2024-07-31,6080
2024-08-01,7917
2024-08-02,4938
2024-08-03,7561
2024-08-04,5758
2024-08-05,4819
2024-08-06,12630
2024-08-07,109
2024-08-08,1804
2024-08-09,3018
2024-08-10,2939
2024-08-11,819
2024-08-12,8067
2024-08-13,675
2024-08-14,216
2024-08-15,536
2024-08-16,3209
2024-08-17,734
2024-08-18,1882
2024-08-19,1989
2024-08-20,1628
2024-08-21,102
2024-08-22,3742
2024-08-23,616
2024-08-24,8226
2024-08-25,1872
2024-08-26,7335
2024-08-27,4583
2024-08-28,2846
2024-08-29,2038
2024-08-30,84
2024-08-31,2716
2024-09-01,2014
2024-09-02,6200
2024-09-03,795
2024-09-04,5079
2024-09-05,6175
2024-09-06,521
2024-09-07,5185
2024-09-08,4828
2024-09-09,13024
2024-09-10,8708
2024-09-11,4762
2024-09-12,6123
2024-09-13,5477
2024-09-14,545
2024-09-15,2315
2024-09-16,2082
2024-09-17,6261
2024-09-18,856
2024-09-19,9813
2024-09-20,5599
2024-09-21,189
2024-09-22,1434
2024-09-23,4636
2024-09-24,1137
2024-09-25,6612
2024-09-26,4670
2024-09-27,1162
2024-09-28,320
2024-09-29,1447
2024-09-30,3173
2024-10-01,8448
2024-10-02,6485
2024-10-03,9470
2024-10-04,5432
2024-10-05,11921
2024-10-06,4275
2024-10-07,5991
2024-10-08,5906
2024-10-09,989
2024-10-10,6305
2024-10-11,4226
2024-10-12,347
2024-10-13,311
2024-10-14,4602
2024-10-15,7553
2024-10-16,11493
2024-10-17,4788
2024-10-18,5438
2024-10-19,5270
2024-10-20,3357
2024-10-21,5734
2024-10-22,5770
2024-10-23,3635
2024-10-24,8567
2024-10-25,4369
2024-10-26,1413
2024-10-27,884
2024-10-28,2858
2024-10-29,2944
2024-10-30,9211
2024-10-31,6277
2024-11-01,4908
2024-11-02,2709
2024-11-03,1328
2024-11-04,8355
2024-11-05,5881
2024-11-06,5849
2024-11-07,5262
2024-11-08,4920
2024-11-09,4700
2024-11-10,4407
2024-11-11,3311
2024-11-12,5676
2024-11-13,7046
2024-11-14,8919
2024-11-15,4842
2024-11-16,3115
2024-11-17,4893
2024-11-18,5696
2024-11-19,5401
2024-11-20,3912
2024-11-21,5651
2024-11-22,5165
2024-11-23,7075
2024-11-24,4625
2024-11-25,4927
2024-11-26,7543
2024-11-27,2435
2024-11-28,10740
2024-11-29,5206
2024-11-30,154
2024-12-01,3565
2024-12-02,5336
2024-12-03,5675
2024-12-04,6207
2024-12-05,2651
2024-12-06,2764
2024-12-07,6171
2024-12-08,3585
2024-12-09,3021
2024-12-10,3920
2024-12-11,18
2024-12-12,2295
2024-12-13,6517
2024-12-14,1269
2024-12-15,1620
2024-12-16,6279
2024-12-17,2911
2024-12-18,689
2024-12-19,4908
2024-12-20,3622
2024-12-21,333
2024-12-22,1429
2024-12-23,2284
