date,type,value
2021-05-07,StepCount,2027.0
2021-05-07,FlightsClimbed,2.0
2021-05-07,DistanceWalkingRunning,1.49692
2021-05-08,StepCount,30.0
2021-05-08,FlightsClimbed,0.0
2021-05-08,DistanceWalkingRunning,0.01674
2021-05-09,StepCount,126.0
2021-05-09,FlightsClimbed,0.0
2021-05-09,DistanceWalkingRunning,0.08299000000000001
2021-05-10,StepCount,858.0
2021-05-10,FlightsClimbed,3.0
2021-05-10,DistanceWalkingRunning,0.6890399999999999
2021-05-11,StepCount,5083.0
2021-05-11,FlightsClimbed,6.0
2021-05-11,DistanceWalkingRunning,3.85689
2021-05-12,StepCount,1112.0
2021-05-12,FlightsClimbed,9.0
2021-05-12,DistanceWalkingRunning,0.79825
2021-05-13,StepCount,1158.0
2021-05-13,FlightsClimbed,6.0
2021-05-13,DistanceWalkingRunning,0.7972
2021-05-14,StepCount,1633.0
2021-05-14,FlightsClimbed,5.0
2021-05-14,DistanceWalkingRunning,1.21137
2021-05-15,StepCount,266.0
2021-05-15,FlightsClimbed,4.0
2021-05-15,DistanceWalkingRunning,0.19182
2021-05-16,StepCount,1605.0
2021-05-16,FlightsClimbed,2.0
2021-05-16,DistanceWalkingRunning,1.15714
2021-05-17,StepCount,11314.0
2021-05-17,FlightsClimbed,5.0
2021-05-17,DistanceWalkingRunning,8.516259999999999
2021-05-18,StepCount,5250.0
2021-05-18,FlightsClimbed,2.0
2021-05-18,DistanceWalkingRunning,3.29764
2021-05-19,StepCount,2218.0
2021-05-19,FlightsClimbed,4.0
2021-05-19,DistanceWalkingRunning,1.468
2021-05-20,StepCount,2772.0
2021-05-20,FlightsClimbed,5.0
2021-05-20,DistanceWalkingRunning,1.87327
2021-05-21,StepCount,6280.0
2021-05-21,FlightsClimbed,5.0
2021-05-21,DistanceWalkingRunning,4.13537
2021-05-22,StepCount,95.0
2021-05-22,FlightsClimbed,1.0
2021-05-22,DistanceWalkingRunning,0.07226
2021-05-23,StepCount,165.0
2021-05-23,FlightsClimbed,3.0
2021-05-23,DistanceWalkingRunning,0.12246
2021-05-24,StepCount,4706.0
2021-05-24,FlightsClimbed,3.0
2021-05-24,DistanceWalkingRunning,3.2982899999999997
2021-05-25,StepCount,4603.0
2021-05-25,FlightsClimbed,3.0
2021-05-25,DistanceWalkingRunning,3.00381
2021-05-26,StepCount,1326.0
2021-05-26,FlightsClimbed,5.0
2021-05-26,DistanceWalkingRunning,0.9417930000000001
2021-05-27,StepCount,5159.0
2021-05-27,FlightsClimbed,2.0
2021-05-27,DistanceWalkingRunning,3.56778
2021-05-28,StepCount,3318.0
2021-05-28,FlightsClimbed,3.0
2021-05-28,DistanceWalkingRunning,2.40142
2021-05-29,StepCount,174.0
2021-05-29,FlightsClimbed,1.0
2021-05-29,DistanceWalkingRunning,0.12663
2021-05-30,StepCount,5249.0
2021-05-30,FlightsClimbed,3.0
2021-05-30,DistanceWalkingRunning,3.747
2021-05-31,StepCount,6483.0
2021-05-31,FlightsClimbed,4.0
2021-05-31,DistanceWalkingRunning,3.97765
2021-06-01,StepCount,5595.0
2021-06-01,FlightsClimbed,2.0
2021-06-01,DistanceWalkingRunning,3.47133
2021-06-02,StepCount,2666.0
2021-06-02,FlightsClimbed,10.0
2021-06-02,DistanceWalkingRunning,1.71513
2021-06-03,StepCount,113.0
2021-06-03,FlightsClimbed,2.0
2021-06-03,DistanceWalkingRunning,0.08291
2021-06-04,StepCount,103.0
2021-06-04,FlightsClimbed,1.0
2021-06-04,DistanceWalkingRunning,0.08552
2021-06-05,StepCount,278.0
2021-06-05,FlightsClimbed,2.0
2021-06-05,DistanceWalkingRunning,0.2012
2021-06-06,StepCount,0.0
2021-06-06,FlightsClimbed,0.0
2021-06-06,DistanceWalkingRunning,0.0
2021-06-07,StepCount,241.0
2021-06-07,FlightsClimbed,2.0
2021-06-07,DistanceWalkingRunning,0.17287
2021-06-08,StepCount,9206.0
2021-06-08,FlightsClimbed,6.0
2021-06-08,DistanceWalkingRunning,6.180636
2021-06-09,StepCount,2690.0
2021-06-09,FlightsClimbed,4.0
2021-06-09,DistanceWalkingRunning,1.891317
2021-06-10,StepCount,51.0
2021-06-10,FlightsClimbed,1.0
2021-06-10,DistanceWalkingRunning,0.04013
2021-06-11,StepCount,7535.0
2021-06-11,FlightsClimbed,3.0
2021-06-11,DistanceWalkingRunning,5.087251
2021-06-12,StepCount,3879.0
2021-06-12,FlightsClimbed,5.0
2021-06-12,DistanceWalkingRunning,2.50153
2021-06-13,StepCount,378.0
2021-06-13,FlightsClimbed,3.0
2021-06-13,DistanceWalkingRunning,0.26584
2021-06-14,StepCount,218.0
2021-06-14,FlightsClimbed,3.0
2021-06-14,DistanceWalkingRunning,0.1558
2021-06-15,StepCount,176.0
2021-06-15,FlightsClimbed,2.0
2021-06-15,DistanceWalkingRunning,0.13363
2021-06-16,StepCount,2039.0
2021-06-16,FlightsClimbed,5.0
2021-06-16,DistanceWalkingRunning,1.45552
2021-06-17,StepCount,197.0
2021-06-17,FlightsClimbed,1.0
2021-06-17,DistanceWalkingRunning,0.14475
2021-06-18,StepCount,2380.0
2021-06-18,FlightsClimbed,6.0
2021-06-18,DistanceWalkingRunning,1.699374
2021-06-19,StepCount,3631.0
2021-06-19,FlightsClimbed,6.0
2021-06-19,DistanceWalkingRunning,2.67522
2021-06-20,StepCount,662.0
2021-06-20,FlightsClimbed,2.0
2021-06-20,DistanceWalkingRunning,0.4809
2021-06-21,StepCount,450.0
2021-06-21,FlightsClimbed,4.0
2021-06-21,DistanceWalkingRunning,0.32789999999999997
2021-06-22,StepCount,136.0
2021-06-22,FlightsClimbed,3.0
2021-06-22,DistanceWalkingRunning,0.09612
2021-06-23,StepCount,3909.0
2021-06-23,FlightsClimbed,3.0
2021-06-23,DistanceWalkingRunning,2.910453
2021-06-24,StepCount,9344.0
2021-06-24,FlightsClimbed,4.0
2021-06-24,DistanceWalkingRunning,6.366786
2021-06-25,StepCount,5152.0
2021-06-25,FlightsClimbed,6.0
2021-06-25,DistanceWalkingRunning,3.13226
2021-06-26,StepCount,704.0
2021-06-26,FlightsClimbed,5.0
2021-06-26,DistanceWalkingRunning,0.4904
2021-06-27,StepCount,1161.0
2021-06-27,FlightsClimbed,4.0
2021-06-27,DistanceWalkingRunning,0.8568551
2021-06-28,StepCount,6673.0
2021-06-28,FlightsClimbed,7.0
2021-06-28,DistanceWalkingRunning,4.26097
2021-06-29,StepCount,3336.0
2021-06-29,FlightsClimbed,10.0
2021-06-29,DistanceWalkingRunning,2.16053
2021-06-30,StepCount,2518.0
2021-06-30,FlightsClimbed,6.0
