date,value
2021-05-07,1.49692
2021-05-08,0.01674
2021-05-09,0.08299000000000001
2021-05-10,0.6890399999999999
2021-05-11,3.85689
2021-05-12,0.79825
2021-05-13,0.7972
2021-05-14,1.21137
2021-05-15,0.19182
2021-05-16,1.15714
2021-05-17,8.516259999999999
2021-05-18,3.29764
2021-05-19,1.468
2021-05-20,1.87327
2021-05-21,4.13537
2021-05-22,0.07226
2021-05-23,0.12246
2021-05-24,3.2982899999999997
2021-05-25,3.00381
2021-05-26,0.9417930000000001
2021-05-27,3.56778
2021-05-28,2.40142
2021-05-29,0.12663
2021-05-30,3.747
2021-05-31,3.97765
2021-06-01,3.47133
2021-06-02,1.71513
2021-06-03,0.08291
2021-06-04,0.08552
2021-06-05,0.2012
2021-06-07,0.17287
2021-06-08,6.180636
2021-06-09,1.891317
2021-06-10,0.04013
2021-06-11,5.087251
2021-06-12,2.50153
2021-06-13,0.26584
2021-06-14,0.1558
2021-06-15,0.13363
2021-06-16,1.45552
2021-06-17,0.14475
2021-06-18,1.699374
2021-06-19,2.67522
2021-06-20,0.4809
2021-06-21,0.32789999999999997
2021-06-22,0.09612
2021-06-23,2.910453
2021-06-24,6.366786
2021-06-25,3.13226
2021-06-26,0.4904
2021-06-27,0.8568551
2021-06-28,4.26097
2021-06-29,2.16053
2021-06-30,1.572109
2021-07-01,4.9086
2021-07-02,3.205172
2021-07-03,3.154937
2021-07-04,0.08415
2021-07-05,4.573483
2021-07-06,4.811078
2021-07-07,4.851886
2021-07-08,5.915408
2021-07-09,3.56029
2021-07-10,8.901249
2021-07-11,2.133915
2021-07-12,4.3087
2021-07-13,4.0269
2021-07-14,3.98018
2021-07-15,0.713586
2021-07-16,5.70589
2021-07-17,0.23854
2021-07-18,0.23042
2021-07-19,1.6988640000000002
2021-07-20,0.8006
2021-07-21,4.0443299999999995
2021-07-22,6.5229015
2021-07-23,2.00721
2021-07-24,6.87601
2021-07-25,3.37807
2021-07-26,3.609452
2021-07-27,3.91851
2021-07-28,2.83411
2021-07-29,3.58189
2021-07-30,2.916788
2021-07-31,1.84425
2021-08-01,11.69346
2021-08-02,3.76371
2021-08-03,3.09195
2021-08-04,2.09475
2021-08-05,3.2329499999999998
2021-08-06,3.40075
2021-08-07,5.03026
