date,value
2021-05-07,2027.0
2021-05-08,30.0
2021-05-09,126.0
2021-05-10,858.0
2021-05-11,5083.0
2021-05-12,1112.0
2021-05-13,1158.0
2021-05-14,1633.0
2021-05-15,266.0
2021-05-16,1605.0
2021-05-17,11314.0
2021-05-18,5250.0
2021-05-19,2218.0
2021-05-20,2772.0
2021-05-21,6280.0
2021-05-22,95.0
2021-05-23,165.0
2021-05-24,4706.0
2021-05-25,4603.0
2021-05-26,1326.0
2021-05-27,5159.0
2021-05-28,3318.0
2021-05-29,174.0
2021-05-30,5249.0
2021-05-31,6483.0
2021-06-01,5595.0
2021-06-02,2666.0
2021-06-03,113.0
2021-06-04,103.0
2021-06-05,278.0
2021-06-07,241.0
2021-06-08,9206.0
2021-06-09,2690.0
2021-06-10,51.0
2021-06-11,7535.0
2021-06-12,3879.0
2021-06-13,378.0
2021-06-14,218.0
2021-06-15,176.0
2021-06-16,2039.0
2021-06-17,197.0
2021-06-18,2380.0
2021-06-19,3631.0
2021-06-20,662.0
2021-06-21,450.0
2021-06-22,136.0
2021-06-23,3909.0
2021-06-24,9344.0
2021-06-25,5152.0
2021-06-26,704.0
2021-06-27,1161.0
2021-06-28,6673.0
2021-06-29,3336.0
2021-06-30,2518.0
2021-07-01,7736.0
2021-07-02,4606.0
2021-07-03,4720.0
2021-07-04,114.0
2021-07-05,6930.0
2021-07-06,6811.0
2021-07-07,7393.0
2021-07-08,8720.0
2021-07-09,5278.0
2021-07-10,14203.0
2021-07-11,3149.0
2021-07-12,6571.0
2021-07-13,6369.0
2021-07-14,5705.0
2021-07-15,1029.0
2021-07-16,8427.0
2021-07-17,338.0
2021-07-18,326.0
2021-07-19,2511.0
2021-07-20,1109.0
2021-07-21,5700.0
2021-07-22,9616.0
2021-07-23,2902.0
2021-07-24,10603.0
2021-07-25,4538.0
2021-07-26,5448.0
2021-07-27,5871.0
2021-07-28,4055.0
2021-07-29,5270.0
2021-07-30,4480.0
2021-07-31,2750.0
2021-08-01,15536.0
2021-08-02,5259.0
2021-08-03,4576.0
2021-08-04,2935.0
2021-08-05,4744.0
2021-08-06,5073.0
2021-08-07,7046.0
2021-08-08,673.0
2021-08-09,1694.0
2021-08-10,7960.0
2021-08-11,5743.0
2021-08-12,8982.0
2021-08-13,2827.0
2021-08-14,334.0
2021-08-15,5651.0
2021-08-16,8767.0
2021-08-17,11599.0
2021-08-18,1654.0
2021-08-19,2654.0
2021-08-20,1113.0
2021-08-21,2683.0
2021-08-22,4069.0
2021-08-23,1912.0
2021-08-24,8347.0
2021-08-25,1666.0
2021-08-26,4642.0
2021-08-27,1105.0
2021-08-28,2655.0
2021-08-29,2102.0
2021-08-30,2355.0
2021-08-31,5434.0
2021-09-01,4670.0
2021-09-02,3377.0
2021-09-03,582.0
2021-09-04,5860.0
2021-09-05,8445.0
2021-09-06,7005.0
2021-09-07,4017.0
2021-09-08,3467.0
2021-09-09,4505.0
2021-09-10,13164.0
2021-09-11,7901.0
2021-09-12,7479.0
2021-09-13,1057.0
2021-09-14,3360.0
2021-09-15,4255.0
2021-09-16,2735.0
2021-09-17,2996.0
2021-09-18,4093.0
2021-09-19,2492.0
2021-09-20,4710.0
2021-09-21,10935.0
2021-09-22,1386.0
2021-09-23,5617.0
2021-09-24,3336.0
2021-09-25,4379.0
2021-09-26,1691.0
2021-09-27,3688.0
2021-09-28,2468.0
2021-09-29,1969.0
